TipoInstituicao,CodInst,AnoMes,NomeRelatorio,NumeroRelatorio,Grupo,Conta,NomeColuna,DescricaoColuna,Saldo
1,00707903,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.0516659134497004
1,00707903,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.211191032330934
1,00731320,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],8101569.92
1,00731320,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],6982812.94
1,00731320,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],169284.75
1,00731320,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],0.0
1,00731320,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],7932285.17
1,00731320,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],274670.54
1,00731320,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,7928871.32
1,00731320,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.000580315887886045
1,00731320,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,1.19895215173767
1,00778858,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],8839100.4
1,00778858,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],7644190.87
1,00778858,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],3912413.52
1,00778858,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],2812346.65
1,00778858,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],4926686.88
1,00778858,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],26957.58
1,00778858,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,4926686.88
1,00778858,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.084992111372014
1,00778858,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.675720191065876
1,00803287,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],308564786.26
1,00803287,202403,Resumo,1,,78183,Carteira de Crédito Classificada,[31000000],196512195.31
1,00803287,202403,Resumo,1,,78184,Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros,[40000008] + [50000005],249595872.32
1,00803287,202403,Resumo,1,,78185,Captações,[41000007] + [42000006] + [43000005] + [46000002],209307805.9
1,00803287,202403,Resumo,1,,78186,Patrimônio Líquido,[60000002] + [70000009]+ [80000006],58968913.94
1,00803287,202403,Resumo,1,,78187,Lucro Líquido,[70000009]+[80000006]-[81956001],-1509144.68
1,00803287,202403,Resumo,1,,79649,Patrimônio de Referência para Comparação com o RWA,Montante de capital regulatório formado pela soma das parcelas de Capital Nível I e Capital Nível II,54792235.17
1,00803287,202403,Resumo,1,,79662,Índice de Imobilização,Relação entre Ativo Permanente e Patrimônio de Referência,0.112554206282437
1,00803287,202403,Resumo,1,,79664,Índice de Basileia,Relação entre o Patrimônio de Referência e os Ativos ponderados pelo risco,0.242312139457592
1,00804046,202403,Resumo,1,,78182,Ativo Total,[10000007] + [20000004],140106740.18
